SAT Frequency 
[1] 1291
    SAT         SATF
0.5979   1 0.0005274262
0.598    1 0.0005274262
0.5981   1 0.0005274262
0.5987   1 0.0005274262
0.5988   1 0.0005274262
0.5991   1 0.0005274262
0.5992   1 0.0005274262
0.5997   1 0.0005274262
0.5998   1 0.0005274262
0.6      4 0.0021097046
0.6002   3 0.0015822785
0.6007   1 0.0005274262
0.6012   1 0.0005274262
0.6016   1 0.0005274262
0.6027   1 0.0005274262
0.6032   1 0.0005274262
0.6034   1 0.0005274262
0.6042   1 0.0005274262
0.6045   1 0.0005274262
0.6049   1 0.0005274262
0.6054   1 0.0005274262
0.6056   1 0.0005274262
0.6057   1 0.0005274262
0.606    1 0.0005274262
0.6061   1 0.0005274262
0.6062   1 0.0005274262
0.6063   1 0.0005274262
0.6065   1 0.0005274262
0.6069   1 0.0005274262
0.607    1 0.0005274262
0.6074   1 0.0005274262
0.6075   1 0.0005274262
0.6076   1 0.0005274262
0.6077   2 0.0010548523
0.6081   1 0.0005274262
0.6086   1 0.0005274262
0.6089   2 0.0010548523
0.6095   1 0.0005274262
0.6102   1 0.0005274262
0.6108   1 0.0005274262
0.6117   1 0.0005274262
0.6118   1 0.0005274262
0.6119   1 0.0005274262
0.6121   1 0.0005274262
0.6122   1 0.0005274262
0.6125   1 0.0005274262
0.6129   2 0.0010548523
0.6133   1 0.0005274262
0.6136   1 0.0005274262
0.6137   1 0.0005274262
0.6147   1 0.0005274262
0.6151   1 0.0005274262
0.6154   2 0.0010548523
0.6159   1 0.0005274262
0.6166   1 0.0005274262
0.6167   1 0.0005274262
0.617    1 0.0005274262
0.6171   1 0.0005274262
0.6173   1 0.0005274262
0.619    1 0.0005274262
0.6191   1 0.0005274262
0.62     1 0.0005274262
0.6203   1 0.0005274262
0.6211   1 0.0005274262
0.6217   2 0.0010548523
0.6221   2 0.0010548523
0.6231   1 0.0005274262
0.6232   1 0.0005274262
0.6239   1 0.0005274262
0.6246   1 0.0005274262
0.625    1 0.0005274262
0.6251   1 0.0005274262
0.6255   1 0.0005274262
0.6258   1 0.0005274262
0.6273   1 0.0005274262
0.6277   1 0.0005274262
0.6279   1 0.0005274262
0.6284   1 0.0005274262
0.6285   1 0.0005274262
0.6287   1 0.0005274262
0.6289   1 0.0005274262
0.6293   1 0.0005274262
0.6294   1 0.0005274262
0.6304   1 0.0005274262
0.6315   1 0.0005274262
0.6321   2 0.0010548523
0.6322   1 0.0005274262
0.6323   1 0.0005274262
0.6325   1 0.0005274262
0.6327   1 0.0005274262
0.6329   1 0.0005274262
0.634    1 0.0005274262
0.6343   1 0.0005274262
0.6347   1 0.0005274262
0.6349   2 0.0010548523
0.6356   2 0.0010548523
0.6358   1 0.0005274262
0.6365   1 0.0005274262
0.6369   2 0.0010548523
0.637    2 0.0010548523
0.6377   2 0.0010548523
0.6379   1 0.0005274262
0.6385   1 0.0005274262
0.6387   2 0.0010548523
0.6393   1 0.0005274262
0.6396   2 0.0010548523
0.6397   2 0.0010548523
0.6398   3 0.0015822785
0.6403   2 0.0010548523
0.6404   1 0.0005274262
0.6408   2 0.0010548523
0.6409   1 0.0005274262
0.6411   3 0.0015822785
0.6413   1 0.0005274262
0.6414   1 0.0005274262
0.6418   1 0.0005274262
0.6419   1 0.0005274262
0.6422   2 0.0010548523
0.6425   1 0.0005274262
0.643    1 0.0005274262
0.6431   1 0.0005274262
0.6433   1 0.0005274262
0.644    1 0.0005274262
0.6443   2 0.0010548523
0.6447   1 0.0005274262
0.6448   1 0.0005274262
0.6452   1 0.0005274262
0.6453   1 0.0005274262
0.6458   1 0.0005274262
0.6464   1 0.0005274262
0.6468   1 0.0005274262
0.6471   1 0.0005274262
0.6474   1 0.0005274262
0.6475   1 0.0005274262
0.6482   1 0.0005274262
0.6486   1 0.0005274262
0.6487   2 0.0010548523
0.6489   1 0.0005274262
0.6494   1 0.0005274262
0.6496   2 0.0010548523
0.6499   3 0.0015822785
0.65     1 0.0005274262
0.6502   1 0.0005274262
0.6505   2 0.0010548523
0.6506   1 0.0005274262
0.6515   1 0.0005274262
0.652    1 0.0005274262
0.6524   1 0.0005274262
0.6532   1 0.0005274262
0.6536   1 0.0005274262
0.6538   1 0.0005274262
0.6546   1 0.0005274262
0.6547   2 0.0010548523
0.6549   1 0.0005274262
0.655    1 0.0005274262
0.6555   1 0.0005274262
0.6557   1 0.0005274262
0.6558   1 0.0005274262
0.6561   1 0.0005274262
0.6565   1 0.0005274262
0.6567   1 0.0005274262
0.657    1 0.0005274262
0.6572   1 0.0005274262
0.6573   1 0.0005274262
0.6579   1 0.0005274262
0.658    1 0.0005274262
0.6585   1 0.0005274262
0.659    1 0.0005274262
0.6591   1 0.0005274262
0.6595   1 0.0005274262
0.6597   1 0.0005274262
0.66     2 0.0010548523
0.6608   1 0.0005274262
0.661    1 0.0005274262
0.6615   1 0.0005274262
0.6617   1 0.0005274262
0.6621   1 0.0005274262
0.6626   1 0.0005274262
0.6629   1 0.0005274262
0.663    1 0.0005274262
0.6631   1 0.0005274262
0.6633   2 0.0010548523
0.6635   2 0.0010548523
0.6648   1 0.0005274262
0.6649   1 0.0005274262
0.6651   1 0.0005274262
0.6654   1 0.0005274262
0.6655   1 0.0005274262
0.6657   1 0.0005274262
0.6659   1 0.0005274262
0.666    2 0.0010548523
0.6667   4 0.0021097046
0.6673   1 0.0005274262
0.6676   1 0.0005274262
0.6678   1 0.0005274262
0.668    1 0.0005274262
0.6683   1 0.0005274262
0.6684   1 0.0005274262
0.6686   1 0.0005274262
0.6687   1 0.0005274262
0.6689   1 0.0005274262
0.6692   1 0.0005274262
0.6693   1 0.0005274262
0.6694   1 0.0005274262
0.6698   1 0.0005274262
0.67     1 0.0005274262
0.6701   2 0.0010548523
0.6706   1 0.0005274262
0.6707   1 0.0005274262
0.671    1 0.0005274262
0.672    2 0.0010548523
0.6721   1 0.0005274262
0.6722   1 0.0005274262
0.6726   1 0.0005274262
0.673    1 0.0005274262
0.6737   1 0.0005274262
0.6738   1 0.0005274262
0.6741   1 0.0005274262
0.6742   1 0.0005274262
0.6744   1 0.0005274262
0.6749   1 0.0005274262
0.6752   1 0.0005274262
0.6756   1 0.0005274262
0.6761   1 0.0005274262
0.6765   1 0.0005274262
0.6769   1 0.0005274262
0.6774   1 0.0005274262
0.6779   1 0.0005274262
0.6781   1 0.0005274262
0.6785   1 0.0005274262
0.6791   1 0.0005274262
0.6792   1 0.0005274262
0.6798   3 0.0015822785
0.6799   1 0.0005274262
0.6802   1 0.0005274262
0.6803   1 0.0005274262
0.6805   1 0.0005274262
0.6806   1 0.0005274262
0.6807   2 0.0010548523
0.6809   1 0.0005274262
0.6811   1 0.0005274262
0.6814   2 0.0010548523
0.6818   2 0.0010548523
0.6821   2 0.0010548523
0.6825   1 0.0005274262
0.683    1 0.0005274262
0.6831   1 0.0005274262
0.6832   2 0.0010548523
0.6834   1 0.0005274262
0.6835   1 0.0005274262
0.6837   1 0.0005274262
0.6839   2 0.0010548523
0.6841   1 0.0005274262
0.6842   1 0.0005274262
0.6844   1 0.0005274262
0.6845   1 0.0005274262
0.6852   1 0.0005274262
0.6855   1 0.0005274262
0.6857   1 0.0005274262
0.6861   1 0.0005274262
0.6863   1 0.0005274262
0.6865   1 0.0005274262
0.6871   1 0.0005274262
0.6872   1 0.0005274262
0.6875   3 0.0015822785
0.6876   1 0.0005274262
0.688    1 0.0005274262
0.6887   2 0.0010548523
0.6892   2 0.0010548523
0.69     1 0.0005274262
0.6902   1 0.0005274262
0.6903   1 0.0005274262
0.6905   1 0.0005274262
0.6907   1 0.0005274262
0.6913   1 0.0005274262
0.6915   2 0.0010548523
0.6916   1 0.0005274262
0.6923   1 0.0005274262
0.6929   2 0.0010548523
0.693    1 0.0005274262
0.6932   1 0.0005274262
0.6934   1 0.0005274262
0.6943   1 0.0005274262
0.6947   2 0.0010548523
0.695    1 0.0005274262
0.6955   1 0.0005274262
0.6957   2 0.0010548523
0.6958   1 0.0005274262
0.696    1 0.0005274262
0.6962   1 0.0005274262
0.6964   1 0.0005274262
0.6967   1 0.0005274262
0.6968   1 0.0005274262
0.6973   2 0.0010548523
0.6975   1 0.0005274262
0.6976   1 0.0005274262
0.6977   1 0.0005274262
0.698    1 0.0005274262
0.6982   2 0.0010548523
0.6983   1 0.0005274262
0.6988   1 0.0005274262
0.6992   2 0.0010548523
0.6995   1 0.0005274262
0.6996   1 0.0005274262
0.6997   1 0.0005274262
0.6998   1 0.0005274262
0.7003   1 0.0005274262
0.7009   1 0.0005274262
0.7011   1 0.0005274262
0.7016   1 0.0005274262
0.7018   1 0.0005274262
0.7023   1 0.0005274262
0.7025   1 0.0005274262
0.7028   1 0.0005274262
0.7031   2 0.0010548523
0.7039   1 0.0005274262
0.704    1 0.0005274262
0.7044   1 0.0005274262
0.706    1 0.0005274262
0.7062   1 0.0005274262
0.7063   1 0.0005274262
0.7069   1 0.0005274262
0.7078   1 0.0005274262
0.7079   1 0.0005274262
0.7083   1 0.0005274262
0.709    1 0.0005274262
0.7091   1 0.0005274262
0.7092   1 0.0005274262
0.7099   1 0.0005274262
0.7104   1 0.0005274262
0.7105   1 0.0005274262
0.7112   1 0.0005274262
