SAT Frequency 
[1] 1263
    SAT         SATF
0.6706   1 0.0005167959
0.671    1 0.0005167959
0.6716   1 0.0005167959
0.6721   1 0.0005167959
0.6724   1 0.0005167959
0.6725   1 0.0005167959
0.6726   1 0.0005167959
0.6728   2 0.0010335917
0.6731   1 0.0005167959
0.6734   1 0.0005167959
0.6739   1 0.0005167959
0.6747   1 0.0005167959
0.6749   1 0.0005167959
0.6753   1 0.0005167959
0.6754   1 0.0005167959
0.6756   1 0.0005167959
0.6757   1 0.0005167959
0.6758   1 0.0005167959
0.6759   1 0.0005167959
0.6763   1 0.0005167959
0.6764   1 0.0005167959
0.6766   1 0.0005167959
0.677    1 0.0005167959
0.6772   1 0.0005167959
0.6777   1 0.0005167959
0.6778   1 0.0005167959
0.6779   1 0.0005167959
0.6783   1 0.0005167959
0.679    1 0.0005167959
0.6792   2 0.0010335917
0.6793   1 0.0005167959
0.6795   1 0.0005167959
0.6798   1 0.0005167959
0.68     2 0.0010335917
0.6807   1 0.0005167959
0.6808   1 0.0005167959
0.6814   1 0.0005167959
0.6816   1 0.0005167959
0.682    1 0.0005167959
0.6831   1 0.0005167959
0.6832   1 0.0005167959
0.6835   1 0.0005167959
0.6836   1 0.0005167959
0.6838   1 0.0005167959
0.684    1 0.0005167959
0.6841   1 0.0005167959
0.6843   1 0.0005167959
0.6844   1 0.0005167959
0.6845   1 0.0005167959
0.6846   2 0.0010335917
0.6848   1 0.0005167959
0.685    2 0.0010335917
0.6851   1 0.0005167959
0.6852   1 0.0005167959
0.6863   1 0.0005167959
0.6864   1 0.0005167959
0.6865   1 0.0005167959
0.6871   1 0.0005167959
0.6875   1 0.0005167959
0.6877   1 0.0005167959
0.688    1 0.0005167959
0.6881   1 0.0005167959
0.6882   1 0.0005167959
