"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"6642","French Academy of Cosmetology","Spring Lake","MI","49456","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6643","Healing Arts Center","St. Louis","MO","63122","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6644","Paul Mitchell the School-Springfield","Springfield","MO","65807","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6645","Urshan Graduate School of Theology","Florissant","MO","63031","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"6646","Mississippi Institute of Aesthetics Nails & Cosmetology","Clinton","MS","39056","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6647","Aveda Institute-Chapel Hill","Chapel Hill","NC","27516","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6648","Charlotte School of Law","Charlotte","NC","28244","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"6649","Daoist Traditions College of Chinese Medical Arts","Asheville","NC","28801","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"6650","Total Image Beauty Academy","Union City","NJ","07087","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6651","Jersey College","Teterboro","NJ","07608","0.7987","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","PrivacySuppressed",2
"6652","American Institute of Medical Sciences & Education","Piscataway","NJ","08854","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6653","Casal Institute of Nevada","Las Vegas","NV","89119","1","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6654","Career School of NY","Staten Island","NY","10301","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6655","John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry","Ballston Spa","NY","12020","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6656","Ann Marie's World of Beauty School","Binghamton","NY","13901","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6657","Yeshiva of Machzikai Hadas","Brooklyn","NY","11219","1","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",1
"6658","Aveda Institute-Columbus","Columbus","OH","43201","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6659","Paul Mitchell the School-Cincinnati","Cincinnati","OH","45241","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6660","Cutter's Edge School of Cosmetology","Cushing","OK","74023","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6661","Hands on Therapy","Mesquite","TX","75149","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6662","MediaTech Institute-Dallas","Dallas","TX","75234","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","PrivacySuppressed",3
"6663","PCCenter","DeSoto","TX","75115","NULL","NULL","NULL","PrivacySuppressed","0.1154","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6664","Aveda Institute-San Antonio","San Antonio","TX","78259-2792","0.9496","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6665","Skin Institute","Saint George","UT","84770","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6666","Skin Science Institute","Salt Lake City","UT","84111","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
"6667","Global Health College","Alexandria","VA","22304","0.8544","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6668","Pacific Northwest University of Health Sciences","Yakima","WA","98901","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"6669","Visions in Hair Design Institute of Cosmetology","Milwaukee","WI","53210","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",2
"6670","Brensten Education","Waukesha","WI","53186-0000","NULL","NULL","NULL","PrivacySuppressed","1","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","NULL",3
