SAT Frequency 
[1] 1286
    SAT        SATF
0.6364   1 0.0005149331
0.6366   1 0.0005149331
0.6367   1 0.0005149331
0.6368   1 0.0005149331
0.6375   1 0.0005149331
0.6387   2 0.0010298661
0.639    2 0.0010298661
0.6391   1 0.0005149331
0.6393   1 0.0005149331
0.6396   1 0.0005149331
0.64     1 0.0005149331
0.6409   1 0.0005149331
0.641    1 0.0005149331
0.6413   2 0.0010298661
0.6415   1 0.0005149331
0.6416   1 0.0005149331
0.6417   1 0.0005149331
0.6418   2 0.0010298661
0.6419   1 0.0005149331
0.642    1 0.0005149331
0.6422   1 0.0005149331
0.6429   1 0.0005149331
0.643    1 0.0005149331
0.6431   2 0.0010298661
0.6434   2 0.0010298661
0.6437   1 0.0005149331
0.6438   1 0.0005149331
0.644    1 0.0005149331
0.6443   1 0.0005149331
0.6444   1 0.0005149331
0.6451   1 0.0005149331
0.6453   1 0.0005149331
0.6455   1 0.0005149331
0.6458   2 0.0010298661
0.6459   1 0.0005149331
0.646    1 0.0005149331
0.6462   1 0.0005149331
0.6463   1 0.0005149331
0.6464   1 0.0005149331
0.6465   1 0.0005149331
0.6468   1 0.0005149331
0.6475   1 0.0005149331
0.6481   1 0.0005149331
0.6482   2 0.0010298661
0.6484   1 0.0005149331
0.6486   1 0.0005149331
0.6487   1 0.0005149331
0.6488   1 0.0005149331
0.6489   2 0.0010298661
0.6491   1 0.0005149331
0.6494   1 0.0005149331
0.6498   1 0.0005149331
0.6499   1 0.0005149331
0.6501   2 0.0010298661
0.6502   1 0.0005149331
0.6505   2 0.0010298661
0.6512   1 0.0005149331
0.6516   1 0.0005149331
0.6519   1 0.0005149331
0.652    1 0.0005149331
0.6522   2 0.0010298661
0.6529   1 0.0005149331
0.653    1 0.0005149331
0.6532   1 0.0005149331
0.654    1 0.0005149331
0.6545   1 0.0005149331
0.6547   1 0.0005149331
0.6549   1 0.0005149331
0.6558   1 0.0005149331
0.656    1 0.0005149331
0.6563   1 0.0005149331
