"","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"3329",3329,"Mansfield University of Pennsylvania","Mansfield","PA","16933","0.9229","540","NULL","0.4765100671","0.0278",NA,NA,"0.033","0.0017",NA,"0.0208",NA,"0.4962","NULL","NULL","NULL","NULL",1
"3330",3330,"Marywood University","Scranton","PA","18509-1598","0.713","580","NULL","0.6219312602","0.0152",NA,NA,"0.0499","0.0065",NA,NA,NA,"0.6511","NULL","NULL","NULL","NULL",1
"3333",3333,"Mercyhurst University","Erie","PA","16546","0.7536","580","26","0.3655430712","0.0145",NA,NA,"0.0909","0.0055",NA,NA,NA,"0.6047","NULL","NULL","NULL","NULL",1
"3334",3334,"Messiah College","Mechanicsburg","PA","17055","0.659","640","28","0.7512038523","0.0238","0.0493",NA,"0.0445","0.0095",NA,"0.0032",NA,"0.758","NULL","NULL","NULL","NULL",1
"3336",3336,"Millersville University of Pennsylvania","Millersville","PA","17551-0302","0.7186","560","NULL","0.4535225049","0.0241",NA,"0.0696","0.073","0.0303",NA,"0.0386","0.0007","0.6078","NULL","NULL","NULL","NULL",1
"3337",3337,"Misericordia University","Dallas","PA","18612-1098","0.6489","580","26","0.6232339089","0.0227",NA,NA,"0.0265","0.0038",NA,"0.0019",NA,"0.6923","NULL","NULL","NULL","NULL",1
"3339",3339,"Moore College of Art and Design","Philadelphia","PA","19103-1179","0.5632","530","NULL","0.625",NA,NA,NA,NA,NA,NA,NA,NA,"0.5758","NULL","NULL","NULL","NULL",1
"3340",3340,"Moravian College","Bethlehem","PA","18018-6650","0.7995","NULL","NULL","0.6331877729","0.0201",NA,NA,"0.0777","0.0276",NA,"0.0201",NA,"0.7406","NULL","NULL","NULL","NULL",1
"3341",3341,"Mount Aloysius College","Cresson","PA","16630-1999","0.6876","510","19","0.4686940966","0.0319",NA,NA,"0.0559",NA,NA,NA,NA,"0.37","NULL","NULL","NULL","NULL",1
"3342",3342,"Muhlenberg College","Allentown","PA","18104","0.4616","670","NULL","0.7984693878","0.0034",NA,NA,"0.1077","0.0202",NA,"0.0219",NA,"0.8584","NULL","NULL","NULL","NULL",1
"3344",3344,"Neumann University","Aston","PA","19014-1298","0.5531","480","NULL","0.4320241692","0.0097",NA,NA,"0.029",NA,NA,NA,NA,"0.5019","NULL","NULL","NULL","NULL",1
"3350",3350,"Salus University","Elkins Park","PA","19027-6262","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"3352",3352,"Pennsylvania State University-Penn State Erie-Behrend College","Erie","PA","16563-0001","0.8408","600","26","0.5526201819","0.0252","0.1398","0.0864","0.0553","0.0078",NA,"0.0068",NA,"0.6995","NULL","NULL","NULL","NULL",1
"3353",3353,"Pennsylvania State University-Penn State Great Valley","Malvern","PA","19355-1488","NULL","NULL","NULL","0.5526201819","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"3354",3354,"Pennsylvania State University-College of Medicine","Hershey","PA","17033-2360","NULL","NULL","NULL","0.5526201819","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"3355",3355,"Pennsylvania State University-Penn State New Kensington","New Kensington","PA","15068-1765","0.7379","570","25","0.5526201819","0.1888","0.0979","0.1608",NA,NA,NA,NA,NA,"0.5369","NULL","NULL","NULL","NULL",1
"3356",3356,"Pennsylvania State University-Penn State Shenango","Sharon","PA","16146","0.6943","510","23","0.5526201819","0.0438",NA,NA,NA,NA,NA,NA,NA,"0.3134","NULL","NULL","NULL","NULL",1
"3357",3357,"Pennsylvania State University-Penn State Wilkes-Barre","Lehman","PA","18627","0.8199","570","24","0.5526201819","0.1111","0.1759","0.0741",NA,NA,NA,NA,NA,"0.5029","NULL","NULL","NULL","NULL",1
"3358",3358,"Pennsylvania State University-Penn State Worthington Scranton","Dunmore","PA","18512-1602","0.8186","530","24","0.5526201819","0.1027",NA,"0.0045",NA,NA,NA,NA,NA,"0.4608","NULL","NULL","NULL","NULL",1
"3359",3359,"Pennsylvania State University-Penn State Lehigh Valley","Center Valley","PA","18034-8447","0.8548","570","26","0.5526201819","0.0753",NA,NA,NA,NA,NA,NA,NA,"0.5481","NULL","NULL","NULL","NULL",1
"3360",3360,"Pennsylvania State University-Penn State Altoona","Altoona","PA","16601-3777","0.8519","560","25","0.5526201819","0.0095","0.104","0.0047","0.0213",NA,NA,NA,NA,"0.688","NULL","NULL","NULL","NULL",1
"3361",3361,"Pennsylvania State University-Penn State Beaver","Monaca","PA","15061-2764","0.8731","540","21","0.5526201819","0.165",NA,NA,NA,NA,NA,NA,NA,"0.4333","NULL","NULL","NULL","NULL",1
"3362",3362,"Pennsylvania State University-Penn State Berks","Reading","PA","19610-1016","0.8307","570","25","0.5526201819","0.1257","0.0455","0.0241","0.0428",NA,NA,NA,NA,"0.5652","NULL","NULL","NULL","NULL",1
"3363",3363,"Pennsylvania State University-Penn State Harrisburg","Middletown","PA","17057-4846","0.7994","600","27","0.5526201819","0.0377","0.2221",NA,NA,"0.0102",NA,NA,NA,"0.6086","NULL","NULL","NULL","NULL",1
"3364",3364,"Pennsylvania State University-Penn State Brandywine","Media","PA","19063-5522","0.7905","560","23","0.5526201819","0.0707",NA,NA,NA,NA,NA,NA,NA,"0.441","NULL","NULL","NULL","NULL",1
"3365",3365,"Pennsylvania State University-Penn State DuBois","DuBois","PA","15801-2549","0.8793","550","24","0.5526201819","0.0703","0.0078","0.0859",NA,NA,NA,"0.0391",NA,"0.5591","NULL","NULL","NULL","NULL",1
"3366",3366,"Pennsylvania State University-Penn State Fayette- Eberly","Lemont Furnace","PA","15456-0519","0.8918","550","20","0.5526201819","0.0045",NA,"0.2409",NA,NA,NA,NA,NA,"0.4684","NULL","NULL","NULL","NULL",1
"3367",3367,"Pennsylvania State University-Penn State Hazleton","Hazleton","PA","18202-8025","0.8634","540","25","0.5526201819","0.0417",NA,"0.0917",NA,NA,NA,NA,NA,"0.536","NULL","NULL","NULL","NULL",1
"3368",3368,"Pennsylvania State University-Main Campus","University Park","PA","16802-1503","0.542","670","30","0.5526201819","0.0517","0.1469",NA,"0.0547","0.0151",NA,"0.0329","0.0033","0.8484","NULL","NULL","NULL","NULL",1
"3369",3369,"Pennsylvania State University-Penn State Greater Allegheny","McKeesport","PA","15132-7644","0.7983","560","26","0.5526201819","0.1321",NA,NA,NA,NA,NA,NA,NA,"0.4556","NULL","NULL","NULL","NULL",1
"3370",3370,"Pennsylvania State University-Penn State Mont Alto","Mont Alto","PA","17237-9700","0.8271","555","25","0.5526201819","0.043",NA,NA,NA,NA,NA,NA,NA,"0.5199","NULL","NULL","NULL","NULL",1
"3371",3371,"Pennsylvania State University-Penn State Abington","Abington","PA","19001-3918","0.7774","550","25","0.5526201819","0.0556",NA,NA,"0.0208",NA,NA,NA,NA,"0.4803","NULL","NULL","NULL","NULL",1
"3372",3372,"Pennsylvania State University-Penn State Schuylkill","Schuylkill Haven","PA","17972-2202","0.811","490","22","0.5526201819","0.0874",NA,NA,NA,NA,NA,NA,NA,"0.4277","NULL","NULL","NULL","NULL",1
"3373",3373,"Pennsylvania State University-Penn State York","York","PA","17403-3326","0.845","570","25","0.5526201819","0.2245","0.0544","0.0748",NA,NA,NA,NA,NA,"0.4954","NULL","NULL","NULL","NULL",1
"3375",3375,"Peirce College","Philadelphia","PA","19102-4699","NULL","NULL","NULL","0.2709497207","0.1605",NA,NA,NA,NA,NA,NA,NA,"0.2222","NULL","NULL","NULL","NULL",1
"3379",3379,"Pennsylvania Academy of the Fine Arts","Philadelphia","PA","19102-1510","0.8406","NULL","NULL","0.6153846154",NA,NA,NA,NA,NA,NA,NA,NA,"0.6757","NULL","NULL","NULL","NULL",1
"3383",3383,"Pennsylvania College of Art and Design","Lancaster","PA","17608-0059","0.3614","NULL","NULL","0.4157303371",NA,NA,NA,NA,NA,NA,NA,NA,"0.5424","NULL","NULL","NULL","NULL",1
"3384",3384,"University of Pennsylvania","Philadelphia","PA","19104-6303","0.1224","780","35","0.8323353293","0.0281","0.0976",NA,"0.0899","0.0165",NA,"0.0165",NA,"0.9569","NULL","NULL","NULL","NULL",1
"3385",3385,"Philadelphia University","Philadelphia","PA","19144-5497","0.6408","590","26","0.6189224704","0.0075","0.0224",NA,"0.0119",NA,NA,"0.003",NA,"0.5827","NULL","NULL","NULL","NULL",1
